UNIT                                  EXPOSURE PREDICATE HAPPY
ModemManager.service                       6.3 MEDIUM    😐
NetworkManager.service                     7.8 EXPOSED   🙁
accounts-daemon.service                    5.3 MEDIUM    😐
alsa-state.service                         9.6 UNSAFE    😨
avahi-daemon.service                       9.6 UNSAFE    😨
bluetooth.service                          6.0 MEDIUM    😐
chrony.service                             3.5 OK        🙂
containerd.service                         9.6 UNSAFE    😨
cron.service                               9.6 UNSAFE    😨
cups-browsed.service                       9.6 UNSAFE    😨
cups.service                               9.6 UNSAFE    😨
dbus.service                               9.6 UNSAFE    😨
dm-event.service                           9.5 UNSAFE    😨
dnsmasq.service                            9.6 UNSAFE    😨
docker.service                             9.6 UNSAFE    😨
emergency.service                          9.5 UNSAFE    😨
getty@tty1.service                         9.6 UNSAFE    😨
libvirtd.service                           9.6 UNSAFE    😨
lightdm.service                            9.6 UNSAFE    😨
lvm2-lvmpolld.service                      9.5 UNSAFE    😨
lynis.service                              9.6 UNSAFE    😨
mullvad-daemon.service                     9.6 UNSAFE    😨
named.service                              9.6 UNSAFE    😨
packagekit.service                         9.6 UNSAFE    😨
pihole-FTL.service                         9.0 UNSAFE    😨
plymouth-start.service                     9.5 UNSAFE    😨
polkit.service                             9.6 UNSAFE    😨
rc-local.service                           9.6 UNSAFE    😨
rescue.service                             9.5 UNSAFE    😨
rpc-gssd.service                           9.5 UNSAFE    😨
rpc-statd-notify.service                   9.5 UNSAFE    😨
rpc-svcgssd.service                        9.5 UNSAFE    😨
rtkit-daemon.service                       7.2 MEDIUM    😐
serial-getty@ttyAMA10.service              9.6 UNSAFE    😨
ssh.service                                9.6 UNSAFE    😨
systemd-ask-password-console.service       9.4 UNSAFE    😨
systemd-ask-password-plymouth.service      9.5 UNSAFE    😨
systemd-ask-password-wall.service          9.4 UNSAFE    😨
systemd-fsckd.service                      9.5 UNSAFE    😨
systemd-initctl.service                    9.4 UNSAFE    😨
systemd-journald.service                   4.3 OK        🙂
systemd-logind.service                     2.8 OK        🙂
systemd-machined.service                   6.2 MEDIUM    😐
systemd-networkd.service                   2.6 OK        🙂
systemd-rfkill.service                     9.4 UNSAFE    😨
systemd-udevd.service                      7.0 MEDIUM    😐
triggerhappy.service                       9.6 UNSAFE    😨
udisks2.service                            9.6 UNSAFE    😨
user@1000.service                          9.4 UNSAFE    😨
virtlockd.service                          9.6 UNSAFE    😨
virtlogd.service                           9.6 UNSAFE    😨
wayvnc-control.service                     9.6 UNSAFE    😨
wayvnc.service                             9.4 UNSAFE    😨
wpa_supplicant.service                     9.6 UNSAFE    😨
xrdp-sesman.service                        9.6 UNSAFE    😨
xrdp.service                               9.2 UNSAFE    😨
